stream_id,skasia_channel,group,source_feed,source_channel,score,status
"51603","Astro Badminton HD s","SPORTS","","","0","unmatched"
"49792","SUPER Sports  CH11(HK)","Hong Kong香港","","","0","unmatched"
"49791","SUPER 獎門人  CH02(HK)","Hong Kong香港","","","0","unmatched"
"49790","SUPER EYT  CH03(HK)","Hong Kong香港","","","0","unmatched"
"49789","SUPER 識食  CH04(HK)","Hong Kong香港","","","0","unmatched"
"49788","SUPER 識嘆  CH05(HK)","Hong Kong香港","","","0","unmatched"
"49787","SUPER Music  CH06(HK)","Hong Kong香港","","","0","unmatched"
"49786","SUPER 金曲  CH07(HK)","Hong Kong香港","","","0","unmatched"
"49785","SUPER 煲劇  CH08(HK)","Hong Kong香港","","","0","unmatched"
"49784","SUPER 劇場  CH09(HK)","Hong Kong香港","","","0","unmatched"
"49783","SUPER 話當年  CH10(HK)","Hong Kong香港","","","0","unmatched"
"49637","Enjoy TV5","Malaysia(MY)","","","0","unmatched"
"13383","ASTRO Tutor TV PT3 TL AFL TV Live","mylaliu","","","0","unmatched"
"13381","ASTRO Tutor TV SPM TL Mara TV","mylaliu","","","0","unmatched"
"47732","TV3 KTV借用","Olympic","","","0","unmatched"
"44326","新时代2","Hong Kong香港","","","0","unmatched"
"44325","新时代1","Hong Kong香港","","","0","unmatched"
"44092","中天綜合台","Taiwan(台湾) line1","","","0","unmatched"
"43926","KBSN Kids","KOREA","","","0","unmatched"
"43917","Astro Footballs MY2","Malaysia(MY2)","","","0","unmatched"
"43916","Premier Leagues MY2 ASSP1","Malaysia(MY2)","","","0","unmatched"
"43915","Premier League 2s MY2","Malaysia(MY2)","","","0","unmatched"
"43914","Astro Grandstands MY2","Malaysia(MY2)","","","0","unmatched"
"43913","Astro Badminton HDs MY2","Malaysia(MY2)","","","0","unmatched"
"43912","Astro Badminton 2HDs MY2","Malaysia(MY2)","","","0","unmatched"
"43911","Astro Sports Plus  HDs MY2","Malaysia(MY2)","","","0","unmatched"
"43910","Astro Footballs","Malaysia(MY)","","","0","unmatched"
"43909","Premier Leagues ASSP1","Malaysia(MY)","","","0","unmatched"
"43908","Premier League 2s","Malaysia(MY)","","","0","unmatched"
"43907","Astro Grandstands","Malaysia(MY)","","","0","unmatched"
"43906","Astro Badminton HDs","Malaysia(MY)","","","0","unmatched"
"43905","Astro Badminton 2HDs","Malaysia(MY)","","","0","unmatched"
"43904","Astro Sports Plus  HDs","Malaysia(MY)","","","0","unmatched"
"1650","Discovery Channel TLLL 马来版本","HONG KONG(TL)","","","0","unmatched"
"43135","东森戏剧台  東森戲劇台","Taiwan(台湾) line1","","","0","unmatched"
